AME-Recommended Nuclide Masses (source: ciaaw.org, 17 Mar 2021, Juris Meija),,,
,,,
nuclide,mass,uncertainty,Year/link
31Al,30.983795333,0.000071820,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
31Si,30.975362145,0.000000753,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
31P,30.973761990,0.000000646,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
31S,30.979554323,0.000001630,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
31Cl,30.992414751,0.000053678,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
32Na,32.017748218,0.000795284,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
32Mg,31.998102510,0.001700393,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
32Al,31.987997,0.000322,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
32Si,31.974148343,0.000002617,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
32P,31.973906805,0.000000648,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
32S,31.972070698,0.000000252,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
32Cl,31.985690174,0.000008166,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
32Ar,31.997660574,0.000053677,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
33Na,33.023029325,0.001220097,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
33Mg,33.004219,0.000539,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
33Al,32.990048,0.000433,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
33Si,32.977917357,0.000053701,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
33P,32.971725201,0.000001626,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
33S,32.971458428,0.000000229,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
33Cl,32.977451507,0.000000793,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
33Ar,32.989929623,0.000032207,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
34Na,34.028598289,0.003833403,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
34Mg,34.007453,0.000818,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
34Al,33.995322,0.000537,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
34Si,33.978681791,0.000322063,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
34P,33.973636172,0.000001316,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
34S,33.967866650,0.000000223,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
34Cl,33.973762873,0.000000287,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
34Ar,33.980269195,0.000003234,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
34K,33.998412,0.000322,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
35Mg,35.014559,0.000692,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
35Al,34.998456,0.000543,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
35Si,34.984393,0.000437,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
35P,34.973228284,0.000080516,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
35S,34.969031832,0.000000229,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
35Cl,34.968852728,0.000000069,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
35Ar,34.975256234,0.000001352,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
35K,34.988010545,0.000021508,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
36Al,36.004199,0.000647,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
36Si,35.986297,0.000429,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
36P,35.977574960,0.000059045,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
36S,35.967080620,0.000000271,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
36Cl,35.968306908,0.000000076,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
36Ar,35.967545519,0.000000291,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
36K,35.981292553,0.000008358,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
36Ca,35.993087511,0.000042960,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
37Si,36.992489,0.000537,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
37P,36.979499,0.000322,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
37S,36.971125542,0.000000281,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
37Cl,36.965902619,0.000000112,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
37Ar,36.966776317,0.000000620,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
37K,36.973376998,0.000001531,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
37Ca,36.985872598,0.000024038,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
38Si,37.994995,0.000644,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
38P,37.984260,0.000430,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
38S,37.971162428,0.000012883,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
38Cl,37.968010527,0.000000155,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
38Ar,37.962732505,0.000000870,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
38K,37.969080372,0.000000966,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
38Ca,37.976317903,0.000005047,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
38Sc,37.995212,0.000322,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
39P,38.986792,0.000430,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
39S,38.975305,0.000216,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
39Cl,38.968004748,0.000019978,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
39Ar,38.964313931,0.000005506,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
39K,38.963707383,0.000001227,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
39Ca,38.970718214,0.000002258,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
39Sc,38.984782,0.000215,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
40P,39.991820,0.000538,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
40S,39.975824493,0.000037824,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
40Cl,39.970435200,0.000536770,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
40Ar,39.962383681,0.000001360,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
40K,39.963999181,0.000001229,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
40Ca,39.962590588,0.000001264,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
40Sc,39.977963346,0.000004575,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
40Ti,39.990269565,0.000011876,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
41S,40.980819,0.000322,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
41Cl,40.970587959,0.000171772,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
41Ar,40.964501011,0.000001462,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
41K,40.961825407,0.000001233,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
41Ca,40.962277727,0.000001263,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
41Sc,40.969250301,0.000001659,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
41Ti,40.983146150,0.000042973,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
42S,41.982371,0.000432,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
42Cl,41.973782,0.000219,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
42Ar,41.963046997,0.000042963,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
42K,41.962401862,0.000001635,<a href='https://doi.org/10.1016/0375-9474(85)90283-0' target='_blank'>1983</a>
